Time (CAT);Open;High;Low;Close;Volume 
2011-07-14 03:00:00;78,739;78,759;78,461;78,663;15998,39
2011-07-14 07:00:00;78,663;79,598;78,63;78,987;29288,73
2011-07-14 11:00:00;78,986;79,079;78,879;79,01;25042,33
2011-07-14 15:00:00;79,01;79,263;78,943;79,078;22382,34
2011-07-14 19:00:00;79,077;79,192;79,012;79,121;12858,24
2011-07-14 23:00:00;79,12;79,243;78,885;79,135;12378,33
2011-07-15 03:00:00;79,135;79,237;79,036;79,184;11481,69
2011-07-15 07:00:00;79,183;79,271;79,12;79,233;17319,37
2011-07-15 11:00:00;79,233;79,247;79,024;79,176;19817,49
2011-07-15 15:00:00;79,176;79,239;78,992;79,019;21792,5
2011-07-15 19:00:00;79,018;79,143;78,978;79,117;8476,73
2011-07-17 23:00:00;79,083;79,15;78,952;78,999;8391,55
2011-07-18 03:00:00;78,999;79,177;78,967;79,017;8652,92
2011-07-18 07:00:00;79,018;79,062;78,948;79,054;15199,74
2011-07-18 11:00:00;79,057;79,132;79,036;79,128;17007,45
2011-07-18 15:00:00;79,128;79,142;79,057;79,094;18396,51
2011-07-18 19:00:00;79,094;79,099;79,026;79,029;8210,62
2011-07-18 23:00:00;79,028;79,091;78,98;79,025;6372,58
2011-07-19 03:00:00;79,025;79,14;79,023;79,076;8551,63
2011-07-19 07:00:00;79,076;79,082;78,982;79,017;19316,46
2011-07-19 11:00:00;79,016;79,087;78,871;78,988;21498,17
